,day,month,year,crash_time,latitude,longitude,number_of_persons_injured,number_of_persons_killed,bad_road_infrastructure,car_failure,distraction,driver_mistake,illegal_action,medical,other_involvement
0,18,4,2017,23,40.536728,-74.193344,0,0,0,0,1,0,0,0,0
1,6,5,2017,13,40.829052,-73.85038,1,0,0,0,0,1,0,0,0
2,27,4,2017,17,40.677303,-73.804565,0,0,0,0,1,0,0,0,0
4,18,4,2017,14,40.828846,-73.90312,0,0,0,0,1,0,0,0,0
5,8,5,2017,10,40.556454,-74.20777,0,0,0,0,0,1,0,0,0
6,10,5,2017,6,40.740025,-73.97626,0,0,0,0,0,1,0,0,0
7,24,4,2017,9,40.651646,-73.93233,0,0,0,0,0,0,0,0,1
8,14,4,2017,13,40.7518,-73.817314,0,0,0,0,0,1,0,0,0
14,25,4,2017,18,40.61074,-73.92241,0,0,0,0,1,0,0,0,0
17,6,5,2017,14,40.686234,-73.82418,0,0,0,0,0,1,0,0,0
21,27,4,2017,15,40.727753,-73.85861,0,0,0,0,0,1,0,0,0
22,2,5,2017,22,40.666702,-73.76731,0,0,0,0,0,1,0,0,0
23,8,5,2017,23,40.66322,-73.893654,8,0,0,0,0,0,1,0,0
28,15,4,2017,9,40.659714,-73.739815,0,0,0,0,1,0,0,0,0
29,2,5,2017,7,40.86507,-73.87185,2,0,0,0,0,0,1,0,0
30,1,5,2017,11,40.558887,-74.1977,1,0,0,0,0,1,0,0,0
31,8,5,2017,14,40.678894,-73.90347,0,0,0,0,1,0,0,0,0
32,25,4,2017,19,40.676373,-73.84701,0,0,0,0,0,1,0,0,0
33,5,5,2017,12,40.84487,-73.92068,0,0,0,0,0,1,0,0,0
35,16,4,2017,11,40.8047,-73.83141,0,0,0,0,0,1,0,0,0
37,26,4,2017,15,40.763287,-73.80358,1,0,0,0,0,1,0,0,0
38,6,5,2017,6,40.651733,-73.93039,1,0,0,0,0,1,0,0,0
39,20,4,2017,23,40.71755,-73.99932,0,0,0,0,1,0,0,0,0
